ID,medv,Usage
1,24.0,Public
2,21.6,Public
3,34.7,Public
8,27.1,Public
15,18.2,Public
16,19.9,Public
18,17.5,Public
21,13.6,Public
22,19.6,Public
23,15.2,Public
24,14.5,Public
27,16.6,Public
30,21.0,Public
37,20.0,Public
38,21.0,Public
39,24.7,Public
40,30.8,Public
41,34.9,Public
42,26.6,Public
47,20.0,Public
52,20.5,Public
58,31.6,Public
63,22.2,Public
66,23.5,Public
67,19.4,Public
68,22.0,Public
71,24.2,Public
72,21.7,Public
73,22.8,Public
74,23.4,Public
77,20.0,Public
78,20.8,Public
79,21.2,Public
84,22.9,Public
86,26.6,Public
89,23.6,Public
93,22.9,Public
94,25.0,Public
96,28.4,Public
97,21.4,Public
103,18.6,Public
110,19.4,Public
111,21.7,Public
112,22.8,Public
113,18.8,Public
114,18.7,Public
115,18.5,Public
116,18.3,Public
117,21.2,Public
118,19.2,Public
125,18.8,Public
128,16.2,Public
132,19.6,Public
133,23.0,Public
138,17.1,Public
139,13.3,Public
141,14.0,Public
146,13.8,Public
149,17.8,Public
151,21.5,Public
153,15.3,Public
154,19.4,Public
155,17.0,Public
160,23.3,Public
163,50.0,Public
167,50.0,Public
175,22.6,Public
176,29.4,Public
179,29.9,Public
180,37.2,Public
183,37.9,Public
184,32.5,Public
187,50.0,Public
188,32.0,Public
194,31.1,Public
196,50.0,Public
199,34.6,Public
200,34.9,Public
203,42.3,Public
204,48.5,Public
205,50.0,Public
207,24.4,Private
210,20.0,Private
212,19.3,Private
216,25.0,Private
218,28.7,Private
219,21.5,Private
221,26.7,Private
226,50.0,Private
228,31.6,Private
229,46.7,Private
231,24.3,Private
233,41.7,Private
235,29.0,Private
237,25.1,Private
242,20.1,Private
247,24.3,Private
248,20.5,Private
249,24.5,Private
252,24.8,Private
253,29.6,Private
254,42.8,Private
255,21.9,Private
256,20.9,Private
257,44.0,Private
261,33.8,Private
262,43.1,Private
265,36.5,Private
266,22.8,Private
267,30.7,Private
269,43.5,Private
271,21.1,Private
273,24.4,Private
274,35.2,Private
275,32.4,Private
277,33.2,Private
278,33.1,Private
282,35.4,Private
283,46.0,Private
284,50.0,Private
285,32.2,Private
286,22.0,Private
287,20.1,Private
288,23.2,Private
289,22.3,Private
291,28.5,Private
292,37.3,Private
293,27.9,Private
295,21.7,Private
296,28.6,Private
297,27.1,Private
300,29.0,Private
303,26.4,Private
308,28.2,Private
314,21.6,Private
316,16.2,Private
317,17.8,Private
321,23.8,Private
324,18.5,Private
326,24.6,Private
327,23.0,Private
328,22.2,Private
331,19.8,Private
332,17.1,Private
334,22.2,Private
335,20.7,Private
336,21.1,Private
338,18.5,Private
346,17.5,Private
348,23.1,Private
356,20.6,Private
358,21.7,Private
361,25.0,Private
365,21.9,Private
366,27.5,Private
371,50.0,Private
375,13.8,Private
381,10.4,Private
383,11.3,Private
384,12.3,Private
387,10.5,Private
388,7.4,Private
389,10.2,Private
391,15.1,Private
395,12.7,Private
398,8.5,Private
400,6.3,Private
402,7.2,Private
403,12.1,Private
408,27.9,Private
410,27.5,Private
416,7.2,Private
417,7.5,Private
419,8.8,Private
420,8.4,Private
422,14.2,Private
428,10.9,Private
430,9.5,Private
434,14.3,Private
445,10.8,Private
448,12.6,Private
449,14.1,Private
451,13.4,Private
453,16.1,Private
457,12.7,Private
458,13.5,Private
460,20.0,Private
464,20.2,Private
471,19.9,Private
472,19.6,Private
474,29.8,Private
475,13.8,Private
478,12.0,Private
479,14.6,Private
482,23.7,Private
484,21.8,Private
489,15.2,Private
491,8.1,Private
493,20.1,Private
497,19.7,Private
505,22.0,Private
506,11.9,Private
